Geneid,chr,length,logFC,AveExpr,t,P.Value,adj.P.Val,B,FC
AC130343.1,chr17,459,-3.98727349756223,-0.736191394876781,-2.02732585656202,0.0610516034684108,0.999923018896758,-4.58924409568442,0.0630537726222614
FAM242D,chr9,718,-3.98324055279226,-1.47071842308446,-2.8426246104458,0.0124879181291795,0.999923018896758,-4.58492374803106,0.0632302812635757
SLURP1,chr8,537,-3.96605680060512,-2.22095028053666,-2.03342711586415,0.0603645117864258,0.999923018896758,-4.58989216171147,0.0639879119476296
AL356310.1,chr1,585,-3.92294678083296,-2.02451467964948,-3.25527223173034,0.00541071214530068,0.999923018896758,-4.58316625150651,0.0659288268016378
SLC25A47,chr14,1799,-3.91654435378871,-1.02990773985612,-2.5313600080636,0.0232217088299259,0.999923018896758,-4.58609514958091,0.0662220575202366
AL354712.1,chr1,477,-3.86890531442108,-1.55424661581725,-2.33493515565822,0.0340764883320692,0.999923018896758,-4.58787600825358,0.0684452714116771
RNU6-456P,chr5,107,-3.86770306760406,-2.58378041579403,-2.48902279789868,0.0252382396225438,0.999923018896758,-4.58745757375327,0.0685023329552658
KRT14,chr17,2281,-3.82269493730001,3.00021235375586,-1.47402955294458,0.161444923707111,0.999923018896758,-4.59076878255545,0.0706731029298094
SBF1P1,chr8,5631,-3.82192067723114,-0.0899324483041123,-2.13007887313725,0.0503843312470894,0.999923018896758,-4.58765523867192,0.0707110416804852
LINC01260,chr20,1001,-3.81068160163224,-0.80094809377714,-2.47194204578232,0.0260982207553587,0.999923018896758,-4.58607305695258,0.0712640555662826
AC118758.2,chr7,2813,-3.78743075811953,-3.0533660900926,-2.28625338712873,0.0374289675508613,0.999923018896758,-4.5886879852798,0.0724218701321845
LY6D,chr8,1553,-3.78630280188468,0.331696756151273,-1.5795802804925,0.135354061349282,0.999923018896758,-4.5914998866646,0.072478514564789
SOX18,chr20,1864,-3.7731589344379,-2.13104624126373,-1.96788549629125,0.0681284279183881,0.999923018896758,-4.59027511965573,0.0731418569787421
IVL,chr1,2153,-3.75169575268879,0.374359286201223,-2.60775299159886,0.0199670346506276,0.999923018896758,-4.58349259424546,0.0742381334226793
AC098934.1,chr1,2958,-3.750749071049,-0.710291863682884,-2.40695659523518,0.0296319224593271,0.999923018896758,-4.58636952583928,0.0742868637082915
SLC5A5,chr19,3652,-3.73997470470707,1.71042536056274,-2.91682522879967,0.0107534398753319,0.999923018896758,-4.57753922617069,0.0748437312893365
AC126773.2,chr16,1682,-3.73838081646291,-1.35139096227284,-2.32192457360076,0.034943682279015,0.999923018896758,-4.5878457281348,0.0749264642727405
KCNK4-TEX40,chr11,2733,-3.73790054595451,-0.0541387175575862,-2.31739904700514,0.0352501614865194,0.999923018896758,-4.58625736539694,0.0749514113061737
LINC01743,chr1,964,-3.7375036850381,-0.331848918862196,-2.26442334232541,0.0390307531147517,0.999923018896758,-4.58687965327913,0.0749720320032171
MED15P4,chr2,393,-3.72072912426221,-1.43850089731954,-2.30568378338053,0.0360553329961788,0.999923018896758,-4.58791541134391,0.0758488373101753
FXYD1,chr19,1926,-3.70547206059416,-1.78424820578199,-2.74203997380604,0.0152805294907155,0.999923018896758,-4.58573227087203,0.0766552248122147
AL391095.2,chr20,378,-3.69575162266943,-1.54339818953194,-2.72109897536506,0.0159339257271477,0.999923018896758,-4.58553460526037,0.077173448125967
KRT13,chr17,2913,-3.69061939148342,3.39145662103915,-1.52240673023729,0.149004997481481,0.999923018896758,-4.58985483852776,0.0774484731961612
OXCT2,chr1,1826,-3.68569088127666,-1.5545045101863,-2.15855083484105,0.0477486971608614,0.999923018896758,-4.58895387951416,0.0777135037888689
CDH16,chr16,3656,-3.67666101784176,0.204809212528936,-2.40021376998064,0.0300235309100262,0.999923018896758,-4.58511159022022,0.0782014399129215
SPRR2A,chr1,709,-3.66235999447206,-0.124967618278364,-1.55951311627374,0.14001913009683,0.999923018896758,-4.59183215209296,0.0789804832611266
FKBP6,chr7,4743,-3.65864696373222,1.80983958544372,-2.29311390274957,0.036938446048219,0.999923018896758,-4.58323367213537,0.0791840152981455
ZMYND15,chr17,3303,-3.63699459929774,-1.10751317830581,-2.07863745518396,0.0554895827229923,0.999923018896758,-4.58897470123185,0.0803813936201131
AL354813.1,chr20,2437,-3.6107148169248,0.942646314553991,-2.41450629665644,0.0291991992459809,0.999923018896758,-4.58389595441088,0.0818590187304508
CA6,chr1,2662,-3.59755921423755,2.90919860014881,-2.20588507474092,0.0436482046603787,0.999923018896758,-4.58202531859422,0.0826088859423946
ULBP1,chr6,3142,-3.59414459055983,0.2289950194987,-1.98402930628142,0.066136082121052,0.999923018896758,-4.58829091012797,0.082804639258266
AC243964.3,chr19,2028,-3.58731900546576,-1.88231717155758,-2.29699182596094,0.0366638537511526,0.999923018896758,-4.58832120485003,0.0831973273883
AC106820.6,chr16,963,-3.58552748407664,-1.05593926792409,-2.42468699792476,0.0286251598508338,0.999923018896758,-4.58661363326252,0.0833007050043219
TLX1,chr10,3421,-3.58422085470272,-0.853081682940949,-2.56012376674366,0.0219406232567359,0.999923018896758,-4.58553594081656,0.0833761835002669
LINC02285,chr14,943,-3.57740405997348,-0.741999799409289,-2.24272714291928,0.0406861380394158,0.999923018896758,-4.58750545079455,0.0837710716699392
IL9,chr5,591,-3.5648777378885,0.434072882247009,-1.68569205475269,0.112836166116472,0.999923018896758,-4.59040567088611,0.084501587901797
CPXM1,chr20,2391,-3.52476578154961,0.526764078199791,-2.095248682882,0.0537911698087992,0.999923018896758,-4.5871723093723,0.0868839930254227
AL356583.1,chr1,1371,-3.51557923280239,0.261842135421897,-2.09435650787147,0.0538811606532882,0.999923018896758,-4.58736287817151,0.0874390033524741
AC008894.3,chr19,3103,-3.51330865370864,1.74353412232625,-1.69784791583093,0.110476555328838,0.999923018896758,-4.58939358506291,0.0875767271837564
FFAR2,chr19,2149,-3.51306759284863,0.314447640947887,-2.7332635981323,0.015551143159257,0.999923018896758,-4.58233177002356,0.0875913616591123
CD300H,chr17,606,-3.51044260653453,2.88205763618522,-1.55993010857685,0.139920818421975,0.999923018896758,-4.58936378460101,0.0877508793821901
PCK1,chr20,6819,-3.49965460940474,-0.462361752625009,-2.65757365691341,0.0180857632948814,0.999923018896758,-4.58418969833268,0.0884095109280109
AC079610.1,chr2,1727,-3.4956985863784,1.33806497446748,-2.01762246287436,0.0621590744079026,0.999923018896758,-4.58660519992879,0.0886522718827267
LINC01634,chr22,2379,-3.48840228834072,0.358378948406526,-2.06275715055914,0.0571591983327165,0.999923018896758,-4.58745791856046,0.0891017582885167
TRARG1,chr17,3596,-3.48139385578461,3.15510206307342,-1.48679222846379,0.158081648240333,0.999923018896758,-4.5900561444622,0.0895356565748817
KLHL17,chr1,3395,-3.48050133604413,-1.44637352960064,-2.17778073912872,0.0460415019341067,0.999923018896758,-4.58865186126776,0.0895910647260085
CCNB1,chr5,2558,-3.46954116383502,0.502495701550405,-3.23359225107283,0.00565496042608554,0.999923018896758,-4.57809006894297,0.0902742810771097
AC104758.1,chr15,876,-3.45430767935019,-1.12549016402023,-2.48821797049597,0.0252781470894896,0.999923018896758,-4.58619624404298,0.0912325416937724
KCNK4,chr11,2632,-3.43773698777667,-0.476684587256255,-2.05618495489468,0.0578635696863049,0.999923018896758,-4.58850263939608,0.0922864732161695
AC113133.1,chr8,1374,-3.43766627801318,-1.31896831530887,-2.07984694283277,0.0553642741244101,0.999923018896758,-4.58911807110106,0.0922909964968547
EZR-AS1,chr6,362,-3.43531009164059,-0.945021070439304,-2.47328427683939,0.026029643616106,0.999923018896758,-4.58618499819762,0.0924418478206848
AC015909.4,chr17,578,-3.4270309187512,-0.646657777312074,-2.00423572754909,0.0637170246439355,0.999923018896758,-4.58893892343052,0.09297386758505
FP325330.3,chr22,9537,-3.42293120437476,0.39311261490799,-2.45223927182018,0.0271248855105519,0.999923018896758,-4.58422874210017,0.0932384476836171
DHDH,chr19,1081,-3.421963261361,-0.707852450467243,-2.45281032199905,0.027094596014801,0.999923018896758,-4.58596507580068,0.0933010248629072
CLDN6,chr16,1739,-3.41316349435102,-0.824047760579404,-2.1390293749997,0.0495416291304436,0.999923018896758,-4.58817316217148,0.0938718567419648
IFNL4,chr19,1836,-3.41259757026064,-2.53466151697434,-2.09231289558434,0.0540878157748547,0.999923018896758,-4.58967705815573,0.0939086869552143
MYCNOS,chr2,2413,-3.40744513506115,0.517947308882294,-2.21342051644328,0.0430264784243389,0.999923018896758,-4.58599381270006,0.094244671667841
GSX2,chr4,1926,-3.40663805131705,-1.65105429119802,-1.78987465854648,0.0939701103791001,0.999923018896758,-4.59106710061866,0.0942974095093515
AP003068.1,chr11,544,-3.40405768242782,-0.59247136998331,-1.79658644048539,0.0928561009394763,0.999923018896758,-4.59043225439314,0.0944662184569701
AC004817.3,chr14,2129,-3.40378096715431,-1.91010561292778,-2.29557709770122,0.0367638065654995,0.999923018896758,-4.58824663541765,0.0944843392321893
AC010327.4,chr19,1577,-3.4008249663355,-0.820023988036518,-2.09236329508654,0.0540827104921042,0.999923018896758,-4.58850995079792,0.0946781307836901
AL008727.1,chr16,4728,-3.39703567270308,-1.54405589621495,-2.67784927218867,0.0173701286220203,0.999923018896758,-4.58564676646705,0.0949271333749323
ZNF688,chr16,3023,-3.38957729938397,-1.67792757809162,-1.93631301760377,0.0721828418470782,0.999923018896758,-4.59026008923036,0.095419153679516
KBTBD13,chr15,3124,-3.37825374423097,-1.75379586732473,-2.11941497783682,0.0514056351225236,0.999923018896758,-4.58920869270198,0.0961710350090337
TSPEAR-AS1,chr21,2355,-3.37704452261755,-0.448513395056973,-2.08237419982612,0.0551032774408185,0.999923018896758,-4.58820083984951,0.096251676336984
AC110801.1,chr2,212,-3.37414047791622,-2.49993447579563,-2.46702345099253,0.0263509949777478,0.999923018896758,-4.58760017495595,0.0964456193934903
TNFRSF4,chr1,1721,-3.36601951561488,-2.57605364543258,-2.06677867426078,0.0567320808734458,0.999923018896758,-4.58983068354365,0.0969900447723864
AC122710.1,chr5,553,-3.36324132317725,3.35371837689924,-1.58649631413643,0.133777255861995,0.999923018896758,-4.58845963877416,0.0971769980882727
AC083864.4,chr7,974,-3.3598141745698,-1.57356567332739,-2.06593144677859,0.0568218188709845,0.999923018896758,-4.58937275156863,0.097408118241166
AC046168.1,chr15,3814,-3.35940725619964,-1.69318153791332,-2.61540048429433,0.0196664884190919,0.999923018896758,-4.58612737383008,0.0974355964968147
AC068397.2,chr15,371,-3.35563432722485,-0.109391497662489,-2.68275915903917,0.0172009907386822,0.999923018896758,-4.58337046539471,0.0976907430731371
AC082651.1,chr2,832,-3.35163445935554,-0.668067605021773,-2.48603912400357,0.0253864877212754,0.999923018896758,-4.58558710373164,0.0979619661874619
AC124319.4,chr17,2161,-3.33704788777749,0.279693364421815,-1.55240721416788,0.141703476531469,0.999923018896758,-4.59159469235389,0.0989574484573013
AL360268.2,chr9,380,-3.33446890166431,0.992254340492834,-2.03048783143895,0.0606946314955384,0.999923018896758,-4.58685248426633,0.0991345046769945
AC023161.1,chr12,420,-3.33423379479156,-1.13260607895645,-2.60153213721823,0.0202147678903838,0.999923018896758,-4.58544914301767,0.0991506613157387
IQCF2,chr3,628,-3.33273179641329,-1.71517841871458,-2.45351641330408,0.0270571881910051,0.999923018896758,-4.58714640456135,0.0992539414117302
TMEM121B,chr22,5069,-3.33092655233518,-1.22685141719637,-2.21978695984153,0.0425076441145791,0.999923018896758,-4.58805613067478,0.0993782155889464
WDR81,chr17,7913,-3.33008766339233,-0.431249547958759,-1.77377107489818,0.0966912797438659,0.999923018896758,-4.59045023510669,0.0994360181920519
AC124301.2,chr11,556,-3.32922196149979,-2.53181829968009,-2.2022216126679,0.0439534787841764,0.999923018896758,-4.58908144749585,0.0994957035579665
PLA2G2C,chr1,3298,-3.32247600675625,0.789249908467693,-2.0042915012202,0.0637104605311005,0.999923018896758,-4.58730688062948,0.0999620288541535
AC073578.2,chr12,464,-3.32204682269287,-1.29100315221812,-2.34652111569197,0.0333213565029913,0.999923018896758,-4.58723754834607,0.0999917707542565
AC132216.1,chr11,1158,-3.32160839796228,-1.86499464906859,-2.02031891040675,0.0618494971108722,0.999923018896758,-4.58981384583576,0.100022162157669
AC004980.3,chr7,365,-3.31118739250018,-2.43082337801278,-2.69736804842785,0.0167071001386264,0.999923018896758,-4.58632682758829,0.100747266965445
AC079336.5,chr17,4060,-3.31007607304677,-0.848289768352703,-1.9832014632195,0.0662369468222327,0.999923018896758,-4.58920587377382,0.100824903283807
COL4A2-AS1,chr13,540,-3.3092064084032,0.366548034223861,-1.91743330466483,0.0747102345493059,0.999923018896758,-4.5887586917387,0.100885699421979
AC093390.1,chr2,3403,-3.303738589888,-1.91505055517726,-2.30724536586191,0.0359470179037622,0.999923018896758,-4.58816666202441,0.101268782007716
TRAPPC1,chr17,1171,-3.30182579499414,-0.758805960003936,-1.63167407646752,0.123858501370462,0.999923018896758,-4.59159778989067,0.101403138107289
FAM9A,chrX,1590,-3.2964358148132,-1.16685252901392,-2.43801333035705,0.0278899302256203,0.999923018896758,-4.58654057517883,0.101782693835393
LINC01872,chr19,1109,-3.29495722061888,-0.555694441849266,-2.32558588263977,0.0346975669714687,0.999923018896758,-4.58650799619871,0.101887062702228
LRFN4,chr11,2828,-3.28213253956481,-0.85776620941437,-2.24927639297539,0.0401796483770574,0.999923018896758,-4.58752590184347,0.102796814270956
MYMX,chr6,843,-3.28007072520383,-2.40323749549689,-2.35274243295538,0.032922413145237,0.999923018896758,-4.58821185343487,0.102943830421855
AC022710.1,chr15,1781,-3.27882118744413,-0.722183798787131,-2.04129559202748,0.0594888428864131,0.999923018896758,-4.58867905697812,0.103033030093807
AC118758.3,chr7,24137,-3.27370111100316,1.67856691995043,-2.15014284809457,0.0485134253283161,0.999923018896758,-4.58470045754578,0.103399340498292
LINC01423,chr21,859,-3.27228761395644,0.837591180722517,-2.16721409820486,0.0469724485113154,0.999923018896758,-4.58584835578596,0.103500696834889
ANKRD20A19P,chr13,2796,-3.27125504586588,-0.824899258010554,-2.55727516415261,0.0220644092130002,0.999923018896758,-4.58538818576939,0.103574801041341
ITIH1,chr3,4544,-3.27111057939387,0.348000517293796,-2.23102178215503,0.0416062668633599,0.999923018896758,-4.58603234947151,0.103585173181587
TULP2,chr19,2240,-3.26964089381661,0.490227182628083,-1.89075582009227,0.0784174189701795,0.999923018896758,-4.58857062509694,0.103690750035977
AC078880.1,chr12,553,-3.26803974241454,-1.44601491541798,-2.44417754662774,0.0275559449704843,0.999923018896758,-4.58680456516637,0.103805893395466
AL445205.1,chr1,1031,-3.26639539719142,-1.25082635666822,-2.51109771682095,0.0241668025851589,0.999923018896758,-4.58617564143631,0.103924276028362
ABHD17AP1,chr1,933,-3.26593623785427,-2.09312795459874,-2.08237007847485,0.055103702141761,0.999923018896758,-4.58961494477132,0.103957356752009
LINC02321,chr14,384,-3.26110376932865,-1.44626375124324,-2.37069118741512,0.0317965622406205,0.999923018896758,-4.58730495751481,0.104306157402063
MIR1-1HG,chr20,1220,-3.26083360162145,0.430140077164747,-2.18773692460054,0.0451800414889626,0.999923018896758,-4.58628060401905,0.104325692226368
CMA1,chr14,937,-3.26029608101621,-0.46251628029184,-2.53349972621709,0.0231239955169501,0.999923018896758,-4.58494013803005,0.104364569227802
RIN1,chr11,5469,-3.25046214026203,-0.15985908828886,-2.50393593808469,0.0245095577601955,0.999923018896758,-4.58472644661122,0.105078386627235
NYX,chrX,2988,-3.24951524889662,1.74799871519751,-1.9391528315059,0.0718094323884914,0.999923018896758,-4.58663655173873,0.105147375896114
HGH1,chr8,2814,-3.24657081138408,-1.11633851110654,-2.49110750026649,0.0251351486613006,0.999923018896758,-4.58622845513954,0.105362193317545
LINC01615,chr6,1054,-3.24618975335158,-0.366844541818829,-1.65783393284554,0.118409574862146,0.999923018896758,-4.59116891855503,0.105390026235586
AC012506.2,chr2,533,-3.24525170372643,-2.04784001846192,-2.20978435231895,0.0433254499613015,0.999923018896758,-4.58882600780806,0.105458573793332
SLC12A7,chr5,5984,-3.24477011054977,-1.14126205036839,-2.0353376314962,0.060150817108964,0.999923018896758,-4.58918287196332,0.105493783318548
EN2,chr7,3395,-3.23514448249217,-1.05164676097321,-2.04073038622003,0.0595513541745248,0.999923018896758,-4.58905353472511,0.106199988682351
PDZD3,chr11,3827,-3.22807649296773,-1.67251096632136,-2.24048684464396,0.0408607579446308,0.999923018896758,-4.58836892252639,0.106721555677573
AC009804.2,chr12,3032,-3.22242981685688,-1.21470055315074,-2.28014908131482,0.0378705524579533,0.999923018896758,-4.58753067867237,0.107140079971755
AC010183.1,chr12,559,-3.21750908886449,-1.49360665444295,-2.40024669640398,0.0300216067559178,0.999923018896758,-4.587134146431,0.107506136064631
AL583722.4,chr14,716,-3.21231337693967,-2.37677766312847,-1.82676616616579,0.0879902567240075,0.999923018896758,-4.59112573449889,0.107894005934926
EVX1-AS,chr7,1361,-3.21206048740721,-1.09437635026677,-2.13257425512424,0.050148065276982,0.999923018896758,-4.58847693115687,0.107912920296933
AC008063.1,chr2,640,-3.21144394601915,-1.36710372461677,-1.94427511749747,0.0711403096359166,0.999923018896758,-4.58996286120534,0.107959047162508
AL035078.2,chr11,326,-3.20857273795664,-0.760331464156814,-1.92806068340088,0.0732779198259274,0.999923018896758,-4.58945799193248,0.108174117937619
SPP1,chr4,2321,-3.20765582259166,1.44510202424309,-2.11807490110225,0.0515353202027982,0.999923018896758,-4.58547508484956,0.108242890640132
AL358074.1,chr9,2390,-3.20720714114857,-2.15727853553605,-2.44328114934758,0.0276042756073802,0.999923018896758,-4.58757361368523,0.108276559660917
CTRC,chr1,3486,-3.20687904780306,0.702450951074221,-2.34197269140024,0.0336159059614892,0.999923018896758,-4.58445552291884,0.108301186389
LINC00686,chr20,332,-3.20155039243894,-1.59304018581888,-2.10129011849192,0.053185421421556,0.999923018896758,-4.58905535455992,0.108701941064028
AC103702.2,chr17,1596,-3.1993451119235,-0.65408619778011,-2.4604454013118,0.0266926970838354,0.999923018896758,-4.58565551817694,0.108868228168345
AC090844.3,chr17,982,-3.19379284522005,-1.56610174807472,-1.8825484890484,0.0795907176218847,0.999923018896758,-4.59038201224699,0.109288018954928
MMP9,chr20,2336,-3.19301014880818,0.911379450997251,-2.25640123133147,0.0396353442245984,0.999923018896758,-4.58512069443182,0.109347326393876
AJM1,chr9,4387,-3.18340589532727,-1.97121712887855,-1.71373997997123,0.107456631556423,0.999923018896758,-4.5916068840179,0.110077697576829
MYL2,chr12,1362,-3.18238378863947,-0.460248183158376,-1.97026607759874,0.0678312518751974,0.999923018896758,-4.58887187765019,0.110155711996026
AP006587.1,chr11,1502,-3.18079333846119,-0.14624176844776,-2.38229252649908,0.0310883225177181,0.999923018896758,-4.58549214691912,0.110277216383578
FOXL2NB,chr3,4567,-3.1756039389267,-1.33659140031316,-2.21030449507369,0.0432825646483812,0.999923018896758,-4.58820318995756,0.110674599747003
INKA1,chr3,1040,-3.17242627403806,-1.24775464734106,-1.80445358576812,0.0915652262349298,0.999923018896758,-4.59071345073978,0.110918639114318
NDUFB4P3,chr17,390,-3.16522185186862,-1.41207026255724,-1.95340948659936,0.0699610659373856,0.999923018896758,-4.58984362290615,0.111473921595969
AC025183.3,chr5,1482,-3.16490957872671,-2.14079833224684,-2.08961804514127,0.0543614407947513,0.999923018896758,-4.58958920607337,0.111498052876934
THY1,chr11,5925,-3.16113826961148,1.19808177781652,-2.18195950237041,0.0456780922498699,0.999923018896758,-4.58535249092304,0.111789898132366
AL356414.1,chr20,686,-3.1575154325991,0.5407604791742,-1.92582535131829,0.0735771156726941,0.999923018896758,-4.58825833438218,0.112070973134665
AL022332.1,chr22,593,-3.15712466481785,-1.57299865501257,-2.44090021262948,0.0277330390238231,0.999923018896758,-4.58703782363898,0.112101332743442
LINC01940,chr2,3489,-3.15630757222982,0.128676625600697,-2.11552848120029,0.0517825806478136,0.999923018896758,-4.58718618229191,0.112164841045008
AL669970.3,chr9,428,-3.15470402590613,0.737130213432083,-1.97985814074302,0.0666457219399534,0.999923018896758,-4.58751951917445,0.112289580860362
AC016168.2,chr17,969,-3.13977921486807,0.387759876293246,-2.20095589770875,0.0440594112045361,0.999923018896758,-4.58614383005438,0.11345725619791
CITED1,chrX,1760,-3.13499718670741,-1.59266890725339,-1.95437812446744,0.0698370582522466,0.999923018896758,-4.58997390472878,0.113833951177926
LINC02594,chr17,549,-3.134557596511,1.38615278243847,-1.7089843119162,0.1083526897333,0.999923018896758,-4.58923196484642,0.113868641747983
AL357936.1,chr9,662,-3.13320287544001,-1.8513934617549,-2.43528527965938,0.0280389642945384,0.999923018896758,-4.58734042243174,0.113975617022324
KRT24,chr17,1881,-3.12989236595706,-1.52676258693469,-2.08101856436037,0.0552431366465564,0.999923018896758,-4.58912897603879,0.114237453786895
C1orf127,chr1,3573,-3.12474019134659,1.69842421199713,-2.03764415966925,0.0598937493886497,0.999923018896758,-4.5857553899431,0.114646149666392
AC109136.1,chr16,918,-3.12325273995257,-0.465569532333647,-1.87421758934132,0.0807977554162595,0.999923018896758,-4.58956365875585,0.114764413409577
AC009779.4,chr12,488,-3.11993492118991,0.46071397092786,-2.23097109372296,0.0416102932718374,0.999923018896758,-4.58578736803047,0.115028645060513
AC138430.1,chr19,5409,-3.11965531423782,1.91857939941955,-1.92562939190579,0.0736033970062472,0.999923018896758,-4.5865532743112,0.115050940781269
KRT6B,chr12,2282,-3.11764356667655,1.09243092924689,-1.57975661024392,0.135313663449733,0.999923018896758,-4.59085204394581,0.115211483994944
OPN4,chr10,2456,-3.11743696768874,1.11571808107577,-1.71762931665738,0.106728625951235,0.999923018896758,-4.58943858973975,0.115227983864764
CLIC3,chr9,1177,-3.11408083656207,-1.6956025225168,-2.21211521972598,0.0431335802566218,0.999923018896758,-4.5885351294891,0.115496349925214
IFITM1,chr11,1080,-3.10930969083722,1.36140192139431,-1.80332759088445,0.091749003576886,0.999923018896758,-4.58865577600977,0.11587894090677
ALG1L3P,chr4,765,-3.10083052913376,-0.799251959350618,-2.46743938189904,0.0263295297118001,0.999923018896758,-4.5857974870138,0.116562002335223
C8G,chr9,1152,-3.09768315050968,-1.70399334600414,-1.96230709203347,0.0688294287728504,0.999923018896758,-4.59000569782259,0.116816571187781
AL024497.1,chr6,631,-3.09766124753052,-1.36670244408832,-2.50929455289561,0.0242526662467635,0.999923018896758,-4.58624646346708,0.116818344709055
AL022238.3,chr22,443,-3.09611599087283,-1.7096812596382,-1.79640615323359,0.0928858712183656,0.999923018896758,-4.59097533035097,0.116943534737355
AC113608.2,chr2,487,-3.08776676207495,-0.743807301811097,-2.06723360231549,0.0566839487554777,0.999923018896758,-4.58845356338351,0.11762227768529
RPS3AP29,chr7,769,-3.08620141043998,-0.990563483331074,-2.2103203692829,0.0432812564558356,0.999923018896758,-4.58773847337502,0.117749969361337
MYCNUT,chr2,1039,-3.08133882349208,-0.130316919377199,-1.84712228103605,0.084837616643566,0.999923018896758,-4.58946967251942,0.118147513854285
CD300LB,chr17,2720,-3.07330241773831,-0.570164836312357,-2.13584104867489,0.0498403087746288,0.999923018896758,-4.58774561039087,0.118807480618909
AEBP1,chr7,4955,-3.06981708071658,2.91599687820915,-1.75869029384125,0.0993024203166167,0.999923018896758,-4.58731380030141,0.119094848832431
AC010745.4,chr2,740,-3.06910882453783,-1.28168298294734,-2.19830801804407,0.0442817910934495,0.999923018896758,-4.58808090098527,0.119153329916966
AL161893.1,chr13,4177,-3.06767871991331,0.232734704098577,-1.71094073947197,0.107983274681061,0.999923018896758,-4.59016607405674,0.119271501955087
GABRD,chr1,5556,-3.06604395969401,-0.890344245708251,-1.74795626408129,0.101198573128904,0.999923018896758,-4.59077652857776,0.119406728605115
AP001198.1,chr18,2086,-3.06420895080615,-0.0155819376921848,-2.19132086222284,0.0448736247386196,0.999923018896758,-4.58671285623146,0.119558702382736
IL1A,chr2,2124,-3.05927538784175,1.27471814307802,-2.38216954101638,0.0310957516844179,0.999923018896758,-4.58296942918499,0.119968255386914
AC233701.1,chr17,4204,-3.05886804783776,0.136349361050563,-1.70400258291222,0.109298330871522,0.999923018896758,-4.59035205878845,0.120002132795327
LINC01029,chr18,2094,-3.05434503830707,2.16490905637717,-1.72509487432153,0.105343299948898,0.999923018896758,-4.58824519311322,0.120378943200983
PRDM12,chr9,2476,-3.04654480352167,0.203934356872691,-2.07892960822191,0.0554592904468552,0.999923018896758,-4.58731250101142,0.121031559992474
AP001007.3,chr11,455,-3.0458610913766,0.422218362534376,-2.03991090140558,0.0596420952433367,0.999923018896758,-4.58751170451123,0.121088932033404
