Geneid	Length
BRWD1P1	694
PDPN	34493
RNA5SP41	101
AL359771.1	2600
RF00564	416
PRDM2	124882
KAZN	1225252
RNU6-1265P	103
AL357873.1	1228
KAZN-AS1	42621
TBCAP2	485
TMEM51-AS1	41423
TMEM51	67949
C1orf195	6974
AL035405.1	1018
AL391094.1	1177
FHAD1	153012
AL031283.2	17197
AL031283.3	1299
AL031283.1	6455
EFHD2	20449
CTRC	10804
CELA2A	15364
CELA2B	25492
CASP9	35703
DNAJC16	65567
SCARNA21B	140
AL121992.3	346
AGMAT	12758
AL121992.1	17491
CHCHD2P6	447
RNU7-179P	68
CD24P1	225
DDI2	51545
RSC1A1	1854
AL121992.2	256
PLEKHM2	50438
AL450998.2	16585
SLC25A34	4992
SLC25A34-AS1	9846
TMEM82	5561
FBLIM1	29988
RPL12P14	490
UQCRHL	2180
AL450998.1	438
FLJ37453	13674
SPEN	92597
AL034555.1	211
ZBTB17	34264
AL355994.4	563
AL355994.1	260
AL355994.5	236
TBC1D3P6	4881
SRARP	4572
AL355994.3	512
HSPB7	5567
CLCNKA	15176
AL355994.2	4852
CLCNKB	13573
FAM131C	15864
EPHA2	31751
AL451042.2	2119
AL451042.1	2618
ARHGEF19-AS1	504
ARHGEF19	14756
ANO7L1	12119
CPLANE2	5463
MT1XP1	186
FBXO42	105616
SZRD1	45571
RPL22P3	381
SPATA21	50308
NECAP2	19407
LINC01772	7534
CROCCP3	31822
RNU1-1	164
AL137802.2	1110
AL137802.3	6755
AL137802.1	1103
LINC01783	2287
RNU1-6P	144
AL355149.1	3881
NBPF1	51244
AL137798.1	339
CROCCP2	38980
AL137798.3	343
MST1P2	4668
AL137798.2	10646
RNU1-3	164
AL021920.2	7653
EIF1AXP1	435
ESPNP	32819
AL021920.1	4049
AL021920.3	10652
CROCC	232707
CROCCP4	10689
RNU1-4	164
MST1L	15328
BX284668.1	1873
BX284668.3	3878
MIR3675	73
BX284668.2	3148
RNU1-5P	144
BX284668.5	1112
BX284668.4	508
RNU1-2	164
BX284668.6	438
MFAP2	6334
AL049569.1	26166
ATP13A2	25971
SDHB	35449
PADI2	52675
AL590644.1	7835
AL590644.3	8502
PADI1	40880
PADI3	35136
MIR3972	87
PADI4	55810
PADI6	29504
AC004824.1	623
RCC2	32965
ARHGEF10L	158040
AL136529.1	32292
ACTL8	71751
AL357509.1	29901
LINC01654	8756
IGSF21	270738
AL365209.1	6473
IGSF21-AS1	12418
AL591896.1	2686
KLHDC7A	5145
DYNLL1P3	266
AL031737.1	223
PAX7	117861
TAS1R2	20084
AL080251.1	71849
ALDH4A1	31352
MIR4695	74
MIR1290	78
IFFO2	52406
AL137127.1	3402
UBR4	135771
AL035413.1	30204
EMC1	35889
MRTO4	8590
AKR7L	8213
AKR7A3	6693
AL035413.2	824
AKR7A2	8182
RNU6-1099P	107
PQLC2	16975
CAPZB	146764
RN7SL277P	288
MINOS1	145419
RNU4-28P	141
AL031727.2	5031
NBL1	61478
MINOS1-NBL1	59861
AL031727.1	455
HTR6	14276
TMCO4	117733
RNF186	1250
AL391883.1	5136
OTUD3	30433
PLA2G2E	3609
RN7SL304P	301
PLA2G2A	4986
PLA2G5	63012
PLA2G2D	7628
PLA2G2F	11061
Z98257.1	6231
PLA2G2C	16172
UBXN10-AS1	2245
UBXN10	9964
LINC01757	1561
Z98257.2	2988
VWA5B1	63976
AL020998.1	28977
LINC01141	70656
AL139254.1	950
AL139254.2	2716
AL139254.3	1619
CAMK2N1	3830
MUL1	8714
RPS4XP4	763
FAM43B	2572
CDA	29961
PINK1	18057
MIR6084	110
PINK1-AS	9537
DDOST	9778
KIF17	54004
AL663074.2	1280
SH2D5	13106
AL663074.1	1073
HP1BP3	44663
EIF4G3	370597
RNU7-200P	62
MIR1256	119
RPS15AP6	385
AL627311.1	115
HSPE1P27	607
ECE1	128326
AL031005.1	1170
AL031728.1	6485
PPP1R11P1	376
AL592309.1	1834
AL592309.2	1595
NBPF2P	3343
HS6ST1P1	1234
CROCCP5	3241
NBPF3	44878
PFN1P10	327
ALPL	69041
LINC02596	4716
RAP1GAP	73149
USP48	105309
AL590103.1	307
LDLRAD2	12957
HSPG2	115053
AL590556.1	483
AL590556.2	6193
CELA3B	21622
AL590556.3	47012
RN7SL386P	297
RNU6-1022P	104
CELA3A	10884
RN7SL186P	297
RNU6-776P	104
LINC01635	2059
LINC00339	6666
AL031281.2	75850
AL031281.3	24611
AL031281.4	222
CDC42	40320
CDC42-IT1	5003
AL031281.1	488
WNT4	26665
AL445253.1	14552
MIR4418	62
PPIAP34	492
AL591122.1	1853
ZBTB40	102320
ZBTB40-IT1	2235
EPHA8	40031
MIR6127	109
C1QA	3103
C1QC	4481
C1QB	8777
EPHB2	210662
MIR4684	82
AL512444.1	1137
MIR4253	68
LACTBL1	12296
TEX46	5017
KDM1A	64247
AL031428.1	67912
MIR3115	68
MIR4419A	77
LUZP1	93786
AL161672.1	818
RNU6-514P	107
RNU6-135P	101
HTR1D	2835
AL109936.1	460
LINC01355	5445
AL109936.6	5070
HNRNPR	40566
ZNF436	9995
ZNF436-AS1	2843
AL109936.2	650
TCEA3	43680
AL357134.1	1315
ASAP3	56006
E2F2	24791
AL021154.1	1777
ID3	1877
AL450043.1	17186
MDS2	59074
AL451000.1	9966
RPL11	5094
ELOA	18905
ELOA-AS1	17906
PITHD1	9828
LYPLA2	4570
GALE	5206
HMGCL	36736
FUCA1	23218
CNR2	42837
BTBD6P1	1267
AL590609.3	775
MIR378F	78
AL590609.2	368
PNRC2	6624
SRSF10	16124
AL590609.1	639
AL591178.1	45965
MYOM3	56141
AL591178.2	16792
IL22RA1	23351
IFNLR1	33803
AL590683.1	11454
AL138902.1	14346
GRHL3	45161
STPG1	59936
NIPAL3	57183
RCAN3	38690
AL445686.2	17223
NCMAP	53218
AL445686.1	348
SRRM1	41552
AL445648.1	12703
CLIC4	98968
RNU6-1208P	107
RUNX3	65611
MIR6731	72
AL445471.1	1753
AL445471.2	2443
MIR4425	84
AL050344.2	6269
AL050344.1	69414
AL121994.1	402
AL031432.1	1299
SYF2	9824
AL031432.4	2190
AL031432.5	760
RSRP1	95977
AL031432.3	485
AL031432.2	1035
RHD	58053
SDHDP6	480
AL928711.1	1037
TMEM50A	24445
RHCE	67944
AL031284.1	478
MACO1	69352
LDLRAP1	25307
AL606491.1	8879
MAN1C1	168740
AL031280.1	14568
SELENON	18049
AL020996.2	12275
AL020996.1	4049
MTFR1L	14303
AL020996.3	222
AUNIP	27546
AL033528.2	3808
PAQR7	10044
STMN1	22811
SNRPFP2	251
AL033528.1	140
MIR3917	93
PAFAH2	38391
RNU6-110P	104
RF00492	554
RF00283	167
EXTL1	16581
SLC30A2	8882
AL391650.2	2435
TRIM63	17133
PDIK1L	14379
FAM110D	4943
C1orf232	4421
AL391650.1	2316
ZNF593	1003
CNKSR1	12484
CATSPER4	12408
AL355877.1	20100
AL355877.3	1896
CEP85	44609
AL355877.2	358
SH3BGRL3	2347
UBXN11	37036
CD52	2567
CRYBG2	38383
AL451139.1	346
ZNF683	12889
LIN28A	18945
DHDDS	39013
AL513365.1	535
AL513365.2	4527
HMGN2	3523
DPPA2P2	897
RPS6KA1	45270
MIR1976	52
RN7SL679P	304
RNU7-29P	64
AL627313.1	238
RF01210	3224
AL627082.1	235
AL512408.1	2000
ARID1A	88875
PIGV	10927
RN7SL165P	291
ZDHHC18	30893
SFN	1320
AL034380.1	2113
GPN2	14165
GPATCH3	9979
NUDC	46625
NR0B2	2478
KDF1	10845
RPL12P13	811
AL356390.1	397
OSTCP2	444
TRNP1	7192
TENT5B	7817
SLC9A1	68167
AL590640.2	527
CHCHD3P3	640
NPM1P39	867
SNRPEP7	220
AL590640.1	5247
WDTC1	74118
FO393419.3	599
TMEM222	14256
RNU6-48P	107
ACTG1P20	468
SYTL1	11918
MAP3K6	11709
FCN3	5713
CD164L2	4205
FO393419.1	678
GPR3	3171
WASF2	85933
FO393419.2	2385
BX293535.1	4757
AHDC1	70397
FGR	23214
AL031729.1	192
LINC02574	2395
IFI6	6158
AL445490.1	33596
RNU6-949P	107
CHMP1AP1	662
RNU6-424P	105
FAM76A	37144
AL020997.1	349
RPEP3	676
STX12	51270
AL020997.2	184
AL020997.3	359
RNU6-1245P	106
PPP1R8	20899
SCARNA1	166
THEMIS2	14143
RPA2	23223
SMPDL3B	24165
AL512288.1	21319
XKR8	8635
EYA3	118353
AL512288.2	367
RN7SL559P	297
SPCS2P4	681
AL137792.2	560
AL137792.1	873
RNU6-176P	105
PTAFR	46771
DNAJC8	33570
ATP5IF1	10798
AL353622.1	1945
AL353622.2	425
SESN2	22965
MED18	6966
PHACTR4	130788
CR391992.1	394
RNU6ATAC27P	119
RCC1	33358
SNHG3	4913
SNORA73A	206
SNORA73B	204
PRDX3P2	910
AL513497.1	2083
TRNAU1AP	25461
SNHG12	4595
SNORD99	74
SNORA61	130
SNORA44	132
SNORA16A	137
TAF12	53763
RAB42	3244
LINC01715	5354
AL360012.1	131
RNU11	134
GMEB1	50622
RF00422	267
YTHDF2	33155
OPRD1	59126
AL009181.1	6854
EPB41	232956
AL138785.1	331
RF00017	48236
TMEM200B	4508
AL357500.1	2501
SRSF4	34245
RF02271	6033
MECR	38070
AL590729.1	884
PTPRU	90298
LINC01756	20495
AL671862.1	8701
AC092265.1	697
AL645944.2	35423
AL645944.1	493
LINC01648	23661
AL137076.1	1345
AL021921.1	93
AL161638.2	2079
AL161638.1	5284
MATN1	12311
MATN1-AS1	8324
LAPTM5	25352
MIR4420	77
AL137027.1	5176
LINC01778	10204
RN7SKP91	288
AL445235.1	2097
SDC3	39295
RN7SL371P	267
PUM1	134486
AL356320.2	507
AL356320.1	163
SELENOWP1	572
AC114495.1	436
NKAIN1	59810
SNRNP40	37215
AC114495.2	437
ZCCHC17	67972
AL451070.1	13733
FABP3	11226
SERINC2	25116
AC209007.1	1342
RNU6-40P	107
LINC01225	9564
LINC01226	77081
AC114488.1	3989
TINAGL1	11202
HCRTR1	14833
PEF1	15035
AC114488.2	16114
AC114488.3	4678
COL16A1	52073
ADGRB2	37777
MIR4254	76
AL354919.2	2193
SPOCD1	25630
AL354919.1	13550
AL136115.2	69929
PTP4A2	38436
AL136115.1	956
AL136115.3	14846
KHDRBS1	47022
AL445248.1	21184
TMEM39B	30836
MIR5585	59
KPNA6	68531
AL049795.2	5836
TXLNA	18600
CCDC28B	5002
AL049795.1	2046
IQCC	3027
DCDC2B	7103
TMEM234	7888
EIF3I	9677
MTMR9LP	9963
FAM167B	1624
LCK	34927
HDAC1	41550
MARCKSL1	2548
AL109945.1	1470
TSSK3	12792
FAM229A	3009
BSDC1	29629
GAPDHP20	1007
AL356986.1	341
LRRC37A12P	3576
RN7SL122P	301
AL033529.1	135736
ZBTB8B	31618
ZBTB8A	66513
ZBTB8OS	50732
RBBP4	35070
SYNC	23237
AC114489.1	7504
KIAA1522	33086
YARS	42917
S100PBP	42113
FNDC5	10215
HPCA	12448
TMEM54	6845
RNF19B	28241
AL031602.1	911
AL355864.1	526
AL355864.2	1282
AL020995.1	45395
AK2	73057
AZIN2	39427
AL662907.1	1360
TRIM62	36658
AL662907.2	3448
AL662907.3	5566
ZNF362	44175
AL513327.3	469
A3GALT2	14333
AL513327.1	41898
PHC2	107430
MIR3605	100
RN7SKP16	299
AL513327.2	12894
TLR12P	2706
ZSCAN20	23863
AC115285.1	736
CSMD2	651844
HSPD1P14	1618
HMGB4	4317
CSMD2-AS1	16506
RNA5SP42	115
C1orf94	52249
AC115286.1	434
MIR552	96
SMIM12	147080
GJB5	3466
GJB4	3984
AL121988.1	26672
GJB3	5181
GJA4	2750
AL122010.1	862
DLGAP3	64150
AC114490.3	10958
AC114490.1	3008
AC114490.2	50209
TMEM35B	3819
ZMYM6	45804
ZMYM1	83688
RPL12P45	5804
EFCAB14P1	463
AL590434.1	4921
SFPQ	16771
ZMYM4	153092
RN7SL503P	303
RF00091	813
RPL5P4	886
ZMYM4-AS1	7256
KIAA0319L	124461
AC004865.1	1697
NCDN	9802
AC004865.2	7917
TFAP2E	21959
PSMB2	42301
C1orf216	5598
CLSPN	49750
AL354864.1	4188
AGO4	49719
AGO1	60721
AL139286.1	483
AL139286.2	396
AGO3	141783
AL138787.2	21522
AL138787.1	3961
TEKT2	4201
ADPRHL2	5058
COL8A2	29985
TRAPPC3	19484
MAP7D1	25271
RN7SL131P	256
THRAP3	80942
UBE2V2P4	259
SH3D21	18500
EVA1B	2124
AL591845.1	5488
STK40	46273
LSM10	6655
RNU4-27P	139
OSCP1	34625
SNORA63C	129
MRPS15	8720
CSF3R	17236
FTLP18	523
AL596257.1	6630
AC117945.2	1604
AC117945.1	2629
GRIK3	238603
AL031430.1	2658
MIR4255	72
RNU6-636P	107
AL353604.1	62362
RNA5SP43	110
RPS29P6	145
LINC01137	19533
ZC3H12A	9828
MIR6732	60
MEAF6	22200
MIR5581	60
SNIP1	19896
FTH1P1	532
AL034379.1	253
DNALI1	9939
GNL2	29120
AL513220.1	11211
RSPO1	23574
C1orf109	10680
CDCA8	17302
EPHA10	51254
ACTN4P2	2749
AL929472.1	429
MANEAL	7336
AL929472.3	1160
YRDC	5242
C1orf122	2476
MTF1	50054
AL929472.4	691
AL929472.2	884
INPP5B	86361
RF00092	961
RNU6-584P	95
SF3A3	33947
RNU6-510P	108
FHL3	8837
UTP11	15567
POU3F1	2184
AL139158.2	71712
AL139158.1	340
MIR3659	99
AL139158.3	11130
LINC01343	5773
AL513479.1	585
RNU6-753P	107
LINC01685	21160
AL354702.1	1960
AL354702.2	61764
RRAGC	21626
AL139260.2	35162
AL139260.1	59397
MYCBP	11142
GJA9-MYCBP	17117
GJA9	7137
RHBDL2	55993
RNU6-605P	108
EIF1P2	651
AKIRIN1	14837
NDUFS5	8319
MACF1	405862
RNU6-608P	104
RNA5SP44	133
AL356055.1	446
AL442071.1	7812
HSPE1P8	605
BMP8A	34290
OXCT2P1	1535
PPIEL	37392
PABPC4	15975
AL365277.1	8137
SNORA55	135
HEYL	15793
AL035404.2	488
NT5C1A	12918
HPCAL4	13042
PPIE	71733
AL035404.1	568
RNU7-121P	62
BMP8B	31680
OXCT2	1826
AL033527.6	1450
AL033527.3	1196
AL033527.1	154
AL033527.5	10029
AL033527.4	16047
TRIT1	45402
MYCL	6831
AL033527.2	1354
MFSD2A	14857
AL663070.1	725
CAP1	32417
PPT1	26267
AL512599.1	685
RLF	79549
RNU6-1237P	107
TMCO2	5745
AL050341.2	1541
ZMPSTE24	36078
AL050341.1	313
COL9A2	17327
AL031985.2	480
SMAP2	78477
AL031985.1	418
AL031985.4	13841
ZFP69B	13617
AL031985.3	2449
AL603839.4	1005
ZFP69	19129
AL603839.3	15505
EXO5	7816
AL603839.1	597
AL603839.2	1421
ZNF684	16609
AL356379.1	126
GTF2F2P2	721
RIMS3	44979
AL031289.1	18500
NFYC-AS1	1687
NFYC	79956
MIR30E	92
MIR30C1	89
KCNQ4	56639
RN7SL326P	296
CITED4	1316
AC119677.1	12757
AL391730.1	1660
UBE2V1P8	265
CTPS1	33231
SLFNL1-AS1	29301
SLFNL1	7641
SCMH1	214955
RPL23AP17	499
AC093151.3	42489
AC093151.1	313
FOXO6	21669
AC093151.2	666
RNA5SP45	92
EDN2	5899
HIVEP3	529561
AL445933.2	426
AL445933.1	2242
AC119676.1	43511
HNRNPFP1	1133
AC114492.1	757
GUCA2B	2404
GUCA2A	2028
FOXJ3	159339
AC096540.1	2991
RIMKLA	41784
AL513331.1	397
ZMYND12	25939
PPCS	17269
CCDC30	191335
AL445669.1	755
TMSB4XP1	135
RNU6-536P	107
AL445669.2	421
PPIH	18334
AC098484.4	23474
AC098484.2	2925
YBX1	19923
CLDN19	7162
P3H1	20750
C1orf50	12220
AC098484.3	27202
AC098484.1	978
TMEM269	31613
SVBP	10201
ERMAP	27906
AL512353.1	11742
ZNF691	5905
AL512353.2	2171
AL512353.3	1337
ATP6V1E1P1	681
SLC2A1	33802
ATP6V0CP4	440
SLC2A1-AS1	24310
AC099795.1	2800
RNU6-880P	107
AL161637.1	412
FAM183A	11244
EBNA1BP2	106762
MIR6733	61
CFAP57	82210
RNA5SP46	120
TMEM125	4009
C1orf210	3735
TIE1	22116
MPL	14924
AL139289.2	3975
CDC20	4249
ELOVL1	4678
MIR6734	68
MED8	5892
AL139289.1	4043
SZT2	64366
SZT2-AS1	869
MIR6735	73
HYI	2987
HYI-AS1	3069
PTPRF	98480
AL451062.3	280866
KDM4A	55358
KDM4A-AS1	8374
ST3GAL3	225342
AL451062.1	17952
AL451062.2	271
MIR6079	62
SHMT1P1	1312
ARTN	3922
AL357079.1	2182
IPO13	21084
AL357079.2	6471
DPH2	3370
ATP6V0B	3809
B4GALT2	12228
CCDC24	5170
SLC6A9	39968
AL139220.2	85471
AL139220.1	520
KRT8P47	1398
RN7SL479P	300
KLF17	16291
AL356653.1	360
KLF18	3811
AL359839.1	1160
OOSP1P1	274
AL035417.1	214
AL035417.2	1107
DMAP1	7227
ERI3	134191
ERI3-IT1	866
RNU6-369P	102
RNF220	246531
MIR5584	60
TMEM53	39318
ARMH1	50900
RNU5F-1	117
RNU5D-1	116
KIF2C	27950
AL592166.1	16774
RPS8	3529
SNORD55	80
SNORD46	104
SNORD38A	70
SNORD38B	69
RPS15AP11	385
BEST4	4121
PLK3	5766
TCTEX1D4	763
BTBD19	7104
PTCH2	23220
RNU5E-6P	115
AL136380.1	162
EIF2B3	136201
RNA5SP47	109
CCNB1IP1P1	839
PPIAP35	492
MRPS17P1	3130
HECTD3	8790
UROD	3429
ZSWIM5	289811
OSTCP5	453
LINC01144	1710
HPDL	1629
MUTYH	11308
TOE1	4306
TESK2	147284
PPIAP36	325
CCDC163	6214
MMACHC	13330
PRDX1	12012
HMGB1P48	1213
AKR1A1	19507
AL355480.3	105
AL355480.1	103
NASP	35059
AL355480.2	93
AL355480.4	74
CCDC17	4014
GPBP1L1	60810
RPS15AP10	382
AL604028.2	788
TMEM69	7230
IPP	56327
AL604028.1	2392
AL603882.1	681
MAST2	249138
TMA16P2	601
PIK3R3	92897
AL358075.4	132828
AL358075.1	1551
AL358075.3	226
AL358075.2	4551
TSPAN1	10886
AL672043.1	993
POMGNT1	31624
LURAP1	17928
RAD54L	30786
LRRC41	42413
UQCRH	13146
NSUN4	24976
AL122001.1	370
FAAH	19584
FAAHP1	50365
LINC01398	4609
DMBX1	7231
AL136373.1	11804
MKNK1-AS1	31560
KNCN	5884
MKNK1	59436
MOB3C	9177
ATPAF1	41131
NENFP1	466
TEX38	4740
EFCAB14-AS1	18063
EFCAB14	43906
AL593856.1	805
CYP4B1	61576
CYP4Z2P	57343
AL731892.1	1192
CYP4A11	12308
CYP4A26P	196
CYP4A43P	121
CYP4A27P	190
CYP4A44P	154
CYP4X1	27184
CYP4Z1	50832
