Geneid,chr,length
AL136528.2,chr1,351
TP73-AS1,chr1,9701
RF02197,chr1,161
CCDC27,chr1,4285
SMIM1,chr1,981
LRRC47,chr1,4516
RN7SL574P,chr1,297
AL365330.1,chr1,531
CEP104,chr1,7876
DFFB,chr1,3870
C1orf174,chr1,4388
LINC01134,chr1,4064
LINC01346,chr1,3894
LINC01345,chr1,1852
AL805961.1,chr1,1830
AL805961.2,chr1,4817
EEF1DP6,chr1,372
LINC01777,chr1,2104
AL355602.1,chr1,3402
Z98747.1,chr1,356
LINC01646,chr1,1994
AJAP1,chr1,12405
BX005132.2,chr1,464
BX005132.1,chr1,1580
AL691497.1,chr1,449
AL139823.1,chr1,1225
Z98259.3,chr1,2316
Z98259.2,chr1,609
Z98259.1,chr1,1697
Z97988.1,chr1,135
AL365255.1,chr1,1095
MIR4417,chr1,73
MIR4689,chr1,70
NPHP4,chr1,13167
KCNAB2,chr1,9534
CHD5,chr1,9890
AL031847.2,chr1,663
RPL22,chr1,4682
AL031847.1,chr1,378
RNF207,chr1,6585
ICMT,chr1,4910
LINC00337,chr1,2358
HES3,chr1,697
GPR153,chr1,4082
ACOT7,chr1,4124
AL031848.2,chr1,837
HES2,chr1,5407
ESPN,chr1,6952
MIR4252,chr1,63
AL031848.1,chr1,351
TNFRSF25,chr1,4283
PLEKHG5,chr1,7053
NOL9,chr1,7293
RNU6-731P,chr1,111
AL591866.1,chr1,401
TAS1R1,chr1,2892
ZBTB48,chr1,4503
KLHL21,chr1,6901
PHF13,chr1,3681
THAP3,chr1,4072
DNAJC11,chr1,5083
LINC01672,chr1,2188
AL591163.1,chr1,987
CAMTA1-DT,chr1,415
CAMTA1,chr1,10033
AL590128.1,chr1,286
AL512330.1,chr1,349
RNU1-8P,chr1,165
CAMTA1-IT1,chr1,365
Z97987.1,chr1,744
AL365194.1,chr1,361
AL359881.3,chr1,1721
AL359881.2,chr1,570
AL359881.1,chr1,267
VAMP3,chr1,2760
Z98884.2,chr1,393
PER3,chr1,8099
Z98884.1,chr1,830
UTS2,chr1,1791
TNFRSF9,chr1,6331
AL009183.1,chr1,355
PARK7,chr1,2397
RF00019,chr1,78876
AL034417.4,chr1,4116
AL034417.3,chr1,1043
ERRFI1,chr1,4186
AL034417.2,chr1,2044
AL034417.1,chr1,800
AL358876.1,chr1,1075
LINC01714,chr1,950
RNU1-7P,chr1,164
AL358876.2,chr1,477
RNU6-991P,chr1,107
SLC45A1,chr1,2888
RERE,chr1,11503
AL096855.1,chr1,702
RF00599,chr1,362
AL096855.2,chr1,369
RPL7P11,chr1,658
RPL7P7,chr1,703
AL357552.1,chr1,415
AL357552.2,chr1,353
RPL23AP19,chr1,369
ENO1,chr1,5276
MIR6728,chr1,89
ENO1-AS1,chr1,456
RNU6-304P,chr1,107
HMGN2P17,chr1,743
AL139415.1,chr1,352
AL139415.2,chr1,163
CA6,chr1,2662
RN7SL451P,chr1,299
SLC2A7,chr1,1539
SLC2A5,chr1,6693
RF00424,chr1,909
GPR157,chr1,5372
MIR34AHG,chr1,8702
MIR34A,chr1,110
LNCTAM34A,chr1,1662
H6PD,chr1,9321
SPSB1,chr1,3403
BX323043.1,chr1,1765
AL928921.2,chr1,2623
RNA5SP40,chr1,110
AL928921.1,chr1,708
SLC25A33,chr1,3854
AL954705.1,chr1,559
TMEM201,chr1,6966
PIK3CD,chr1,6332
PIK3CD-AS1,chr1,1823
AL691449.1,chr1,421
PIK3CD-AS2,chr1,939
CLSTN1,chr1,5683
MZT1P1,chr1,246
AL357140.3,chr1,1983
CTNNBIP1,chr1,3339
AL357140.1,chr1,424
AL357140.5,chr1,762
LZIC,chr1,2794
AL357140.2,chr1,440
NMNAT1,chr1,4610
RN7SKP269,chr1,319
AL357140.4,chr1,444
MIR5697,chr1,78
AL603962.1,chr1,436
RBP7,chr1,861
UBE4B,chr1,9128
AL590639.1,chr1,337
PGAM1P11,chr1,680
RNU6-828P,chr1,107
KIF1B,chr1,17720
MIR1273D,chr1,86
RNU6-37P,chr1,107
RN7SL731P,chr1,293
AL139424.3,chr1,2381
AL139424.2,chr1,1477
PGD,chr1,2966
AL139424.1,chr1,797
CENPS-CORT,chr1,2244
CENPS,chr1,1739
CORT,chr1,1130
DFFA,chr1,6622
AL354956.1,chr1,467
PEX14,chr1,2995
RN7SL614P,chr1,280
CASZ1,chr1,11336
AL139423.1,chr1,7923
HSPE1P24,chr1,238
C1orf127,chr1,3573
CFL1P6,chr1,494
TARDBP,chr1,6071
AL109811.4,chr1,2205
MASP2,chr1,4251
AL109811.3,chr1,870
SRM,chr1,1898
EXOSC10,chr1,6003
AL109811.1,chr1,2682
AL109811.2,chr1,536
MTOR,chr1,12119
MTOR-AS1,chr1,763
RNU6-537P,chr1,103
ANGPTL7,chr1,2238
RNU6-291P,chr1,107
RPL39P6,chr1,150
UBIAD1,chr1,5082
UBE2V2P3,chr1,437
AL031291.1,chr1,742
MTCYBP45,chr1,565
DISP3,chr1,6142
AL590989.1,chr1,1051
LINC01647,chr1,1285
AL031731.1,chr1,2094
FBXO2,chr1,3416
FBXO44,chr1,3527
FBXO6,chr1,1811
MAD2L2,chr1,3324
DRAXIN,chr1,7346
AGTRAP,chr1,2435
C1orf167,chr1,6499
AL953897.1,chr1,1868
MTHFR,chr1,11978
CLCN6,chr1,8174
RF02156,chr1,173
RF02157,chr1,149
NPPA,chr1,1120
RF02158,chr1,108
NPPB,chr1,694
AL021155.1,chr1,2637
AL021155.2,chr1,737
RNU5E-1,chr1,120
RNU5E-4P,chr1,120
KIAA2013,chr1,3281
PLOD1,chr1,5320
MFN2,chr1,4973
AL096840.1,chr1,93
MIIP,chr1,2821
MIR6729,chr1,65
RN7SL649P,chr1,275
TNFRSF8,chr1,3738
RNU6-777P,chr1,104
RPL23AP89,chr1,255
AL357835.1,chr1,1196
MIR7846,chr1,96
TNFRSF1B,chr1,3766
MIR4632,chr1,61
RPL10P17,chr1,316
RF00156,chr1,3338
VPS13D,chr1,20768
SNORA59A,chr1,152
AC243836.1,chr1,438
DHRS3,chr1,3036
RNU6ATAC18P,chr1,101
MIR6730,chr1,67
AC254633.1,chr1,345
AADACL4,chr1,1575
AC244670.1,chr1,112
AADACL3,chr1,4049
C1orf158,chr1,4118
PRAMEF12,chr1,1786
PRAMEF1,chr1,2439
LINC01784,chr1,378
PRAMEF11,chr1,1845
PRAMEF30P,chr1,1417
HNRNPCL1,chr1,1108
PRAMEF2,chr1,1642
PRAMEF4,chr1,1828
PRAMEF10,chr1,1525
PRAMEF7,chr1,1660
RNU6-1072P,chr1,107
PRAMEF29P,chr1,1139
PRAMEF6,chr1,1784
PRAMEF28P,chr1,1450
PRAMEF27,chr1,1863
HNRNPCL3,chr1,1148
PRAMEF25,chr1,1918
PRAMEF34P,chr1,1447
PRAMEF35P,chr1,891
HNRNPCL2,chr1,1148
PRAMEF36P,chr1,1452
AC245056.1,chr1,384
PRAMEF26,chr1,1863
HNRNPCL4,chr1,882
PRAMEF9,chr1,1863
PRAMEF13,chr1,2300
PRAMEF18,chr1,2067
PRAMEF31P,chr1,1371
PRAMEF5,chr1,1720
PRAMEF32P,chr1,1068
RNU6-771P,chr1,107
PRAMEF8,chr1,1937
PRAMEF33,chr1,1518
PRAMEF15,chr1,1865
AC243961.1,chr1,384
PRAMEF14,chr1,2301
PRAMEF19,chr1,1440
PRAMEF17,chr1,1578
PRAMEF20,chr1,1597
LRRC38,chr1,2209
AL354712.1,chr1,477
BRWD1P1,chr1,371
PDPN,chr1,3707
RNA5SP41,chr1,101
AL359771.1,chr1,379
RF00564,chr1,416
PRDM2,chr1,10923
KAZN,chr1,13841
RNU6-1265P,chr1,103
AL357873.1,chr1,282
KAZN-AS1,chr1,764
TBCAP2,chr1,326
TMEM51-AS1,chr1,7873
TMEM51,chr1,2240
C1orf195,chr1,559
AL035405.1,chr1,710
AL391094.1,chr1,966
FHAD1,chr1,12805
AL031283.2,chr1,3105
AL031283.3,chr1,727
AL031283.1,chr1,5178
EFHD2,chr1,2531
CTRC,chr1,3486
CELA2A,chr1,1519
CELA2B,chr1,1457
CASP9,chr1,5269
DNAJC16,chr1,8563
SCARNA21B,chr1,140
AL121992.3,chr1,346
AGMAT,chr1,2500
AL121992.1,chr1,2845
CHCHD2P6,chr1,447
RNU7-179P,chr1,68
CD24P1,chr1,225
DDI2,chr1,12136
RSC1A1,chr1,1854
AL121992.2,chr1,256
PLEKHM2,chr1,4122
AL450998.2,chr1,1533
SLC25A34,chr1,3195
SLC25A34-AS1,chr1,639
TMEM82,chr1,1520
FBLIM1,chr1,4716
RPL12P14,chr1,490
UQCRHL,chr1,2180
AL450998.1,chr1,438
FLJ37453,chr1,2473
SPEN,chr1,13294
AL034555.1,chr1,211
ZBTB17,chr1,4240
AL355994.4,chr1,563
AL355994.1,chr1,260
AL355994.5,chr1,236
TBC1D3P6,chr1,962
SRARP,chr1,3039
AL355994.3,chr1,466
HSPB7,chr1,3910
CLCNKA,chr1,3476
AL355994.2,chr1,704
CLCNKB,chr1,2939
FAM131C,chr1,1701
EPHA2,chr1,4159
AL451042.2,chr1,904
AL451042.1,chr1,544
ARHGEF19-AS1,chr1,439
ARHGEF19,chr1,3745
ANO7L1,chr1,1990
CPLANE2,chr1,1545
MT1XP1,chr1,186
FBXO42,chr1,8984
SZRD1,chr1,4747
RPL22P3,chr1,381
SPATA21,chr1,4506
NECAP2,chr1,5559
LINC01772,chr1,3245
CROCCP3,chr1,6813
RNU1-1,chr1,164
AL137802.2,chr1,1110
AL137802.3,chr1,1558
AL137802.1,chr1,327
LINC01783,chr1,2068
RNU1-6P,chr1,144
AL355149.1,chr1,882
NBPF1,chr1,12212
AL137798.1,chr1,339
CROCCP2,chr1,5606
AL137798.3,chr1,166
MST1P2,chr1,2291
AL137798.2,chr1,817
RNU1-3,chr1,164
AL021920.2,chr1,1351
EIF1AXP1,chr1,435
ESPNP,chr1,3178
AL021920.1,chr1,406
AL021920.3,chr1,819
CROCC,chr1,8871
CROCCP4,chr1,762
RNU1-4,chr1,164
MST1L,chr1,5298
BX284668.1,chr1,837
BX284668.3,chr1,882
MIR3675,chr1,73
BX284668.2,chr1,2963
RNU1-5P,chr1,144
BX284668.5,chr1,508
BX284668.4,chr1,508
RNU1-2,chr1,164
BX284668.6,chr1,438
MFAP2,chr1,2915
AL049569.1,chr1,636
ATP13A2,chr1,5253
SDHB,chr1,2462
PADI2,chr1,5984
AL590644.1,chr1,4676
AL590644.3,chr1,1228
PADI1,chr1,4903
PADI3,chr1,3189
MIR3972,chr1,87
PADI4,chr1,2971
PADI6,chr1,2396
AC004824.1,chr1,311
RCC2,chr1,4126
ARHGEF10L,chr1,7817
AL136529.1,chr1,610
ACTL8,chr1,1864
AL357509.1,chr1,2013
LINC01654,chr1,2471
IGSF21,chr1,3085
AL365209.1,chr1,6473
IGSF21-AS1,chr1,430
AL591896.1,chr1,491
KLHDC7A,chr1,5145
DYNLL1P3,chr1,266
AL031737.1,chr1,223
PAX7,chr1,6313
TAS1R2,chr1,2542
AL080251.1,chr1,4369
ALDH4A1,chr1,3689
MIR4695,chr1,74
MIR1290,chr1,78
IFFO2,chr1,6188
AL137127.1,chr1,3402
UBR4,chr1,24675
AL035413.1,chr1,507
EMC1,chr1,9623
MRTO4,chr1,2822
AKR7L,chr1,2768
AKR7A3,chr1,1710
AL035413.2,chr1,525
AKR7A2,chr1,1781
RNU6-1099P,chr1,107
PQLC2,chr1,2686
CAPZB,chr1,3238
RN7SL277P,chr1,288
MINOS1,chr1,5480
RNU4-28P,chr1,141
AL031727.2,chr1,207
NBL1,chr1,3596
MINOS1-NBL1,chr1,1276
AL031727.1,chr1,455
HTR6,chr1,1984
TMCO4,chr1,4054
RNF186,chr1,1250
AL391883.1,chr1,447
OTUD3,chr1,6767
PLA2G2E,chr1,785
RN7SL304P,chr1,301
PLA2G2A,chr1,1685
PLA2G5,chr1,2607
PLA2G2D,chr1,2681
PLA2G2F,chr1,6440
Z98257.1,chr1,2639
PLA2G2C,chr1,3298
UBXN10-AS1,chr1,510
UBXN10,chr1,5571
LINC01757,chr1,480
Z98257.2,chr1,1639
VWA5B1,chr1,6377
AL020998.1,chr1,229
LINC01141,chr1,3394
AL139254.1,chr1,376
AL139254.2,chr1,1340
AL139254.3,chr1,674
CAMK2N1,chr1,2615
MUL1,chr1,2438
RPS4XP4,chr1,763
FAM43B,chr1,2572
CDA,chr1,963
PINK1,chr1,4836
MIR6084,chr1,110
PINK1-AS,chr1,4443
DDOST,chr1,2721
KIF17,chr1,4470
AL663074.2,chr1,479
SH2D5,chr1,4423
AL663074.1,chr1,299
HP1BP3,chr1,7442
EIF4G3,chr1,9596
RNU7-200P,chr1,62
MIR1256,chr1,119
RPS15AP6,chr1,385
AL627311.1,chr1,115
HSPE1P27,chr1,296
ECE1,chr1,7333
AL031005.1,chr1,723
AL031728.1,chr1,2479
PPP1R11P1,chr1,376
AL592309.1,chr1,649
AL592309.2,chr1,761
NBPF2P,chr1,661
HS6ST1P1,chr1,1234
CROCCP5,chr1,830
NBPF3,chr1,6812
PFN1P10,chr1,327
ALPL,chr1,3007
LINC02596,chr1,821
RAP1GAP,chr1,5755
USP48,chr1,9497
AL590103.1,chr1,307
LDLRAD2,chr1,4490
HSPG2,chr1,18104
AL590556.1,chr1,483
AL590556.2,chr1,1162
CELA3B,chr1,1541
AL590556.3,chr1,1611
RN7SL386P,chr1,297
RNU6-1022P,chr1,104
CELA3A,chr1,1224
RN7SL186P,chr1,297
RNU6-776P,chr1,104
LINC01635,chr1,1126
LINC00339,chr1,3764
AL031281.2,chr1,10598
AL031281.3,chr1,2574
AL031281.4,chr1,222
CDC42,chr1,3598
CDC42-IT1,chr1,692
AL031281.1,chr1,488
WNT4,chr1,4527
AL445253.1,chr1,811
MIR4418,chr1,62
PPIAP34,chr1,492
AL591122.1,chr1,1853
ZBTB40,chr1,9169
ZBTB40-IT1,chr1,273
EPHA8,chr1,5358
MIR6127,chr1,109
C1QA,chr1,1272
C1QC,chr1,1335
C1QB,chr1,1601
EPHB2,chr1,12516
MIR4684,chr1,82
AL512444.1,chr1,480
MIR4253,chr1,68
LACTBL1,chr1,1641
TEX46,chr1,658
KDM1A,chr1,5440
AL031428.1,chr1,666
MIR3115,chr1,68
MIR4419A,chr1,77
LUZP1,chr1,9658
AL161672.1,chr1,818
RNU6-514P,chr1,107
RNU6-135P,chr1,101
HTR1D,chr1,2835
AL109936.1,chr1,460
LINC01355,chr1,5445
AL109936.6,chr1,604
HNRNPR,chr1,8676
ZNF436,chr1,4392
ZNF436-AS1,chr1,2655
AL109936.2,chr1,650
TCEA3,chr1,3515
AL357134.1,chr1,426
ASAP3,chr1,4988
E2F2,chr1,5457
AL021154.1,chr1,456
ID3,chr1,1797
AL450043.1,chr1,1322
MDS2,chr1,2142
AL451000.1,chr1,1186
RPL11,chr1,2659
ELOA,chr1,5391
ELOA-AS1,chr1,1347
PITHD1,chr1,2186
LYPLA2,chr1,2196
GALE,chr1,3978
HMGCL,chr1,5658
FUCA1,chr1,2047
CNR2,chr1,5254
BTBD6P1,chr1,1267
AL590609.3,chr1,210
MIR378F,chr1,78
AL590609.2,chr1,368
PNRC2,chr1,2779
SRSF10,chr1,10277
AL590609.1,chr1,328
AL591178.1,chr1,454
MYOM3,chr1,9254
AL591178.2,chr1,461
IL22RA1,chr1,2798
IFNLR1,chr1,4923
AL590683.1,chr1,1849
AL138902.1,chr1,856
GRHL3,chr1,3940
STPG1,chr1,8511
NIPAL3,chr1,9404
RCAN3,chr1,7077
AL445686.2,chr1,1445
NCMAP,chr1,4122
AL445686.1,chr1,348
SRRM1,chr1,8168
AL445648.1,chr1,886
CLIC4,chr1,4495
RNU6-1208P,chr1,107
RUNX3,chr1,4523
MIR6731,chr1,72
AL445471.1,chr1,820
AL445471.2,chr1,2443
MIR4425,chr1,84
AL050344.2,chr1,1431
AL050344.1,chr1,863
AL121994.1,chr1,402
AL031432.1,chr1,988
SYF2,chr1,3370
AL031432.4,chr1,2190
AL031432.5,chr1,760
RSRP1,chr1,6804
AL031432.3,chr1,485
AL031432.2,chr1,459
RHD,chr1,3313
SDHDP6,chr1,480
AL928711.1,chr1,459
TMEM50A,chr1,3410
RHCE,chr1,2433
AL031284.1,chr1,478
MACO1,chr1,3979
LDLRAP1,chr1,5397
AL606491.1,chr1,483
MAN1C1,chr1,9026
AL031280.1,chr1,2224
SELENON,chr1,4424
AL020996.2,chr1,792
AL020996.1,chr1,2793
MTFR1L,chr1,5817
AL020996.3,chr1,222
AUNIP,chr1,2408
AL033528.2,chr1,849
PAQR7,chr1,3297
STMN1,chr1,6261
SNRPFP2,chr1,251
AL033528.1,chr1,140
MIR3917,chr1,93
PAFAH2,chr1,3835
RNU6-110P,chr1,104
RF00492,chr1,554
RF00283,chr1,167
EXTL1,chr1,4537
SLC30A2,chr1,3498
AL391650.2,chr1,941
TRIM63,chr1,2573
PDIK1L,chr1,4535
FAM110D,chr1,2858
C1orf232,chr1,761
AL391650.1,chr1,2073
ZNF593,chr1,769
CNKSR1,chr1,4043
CATSPER4,chr1,2030
AL355877.1,chr1,3191
AL355877.3,chr1,899
CEP85,chr1,5145
AL355877.2,chr1,358
SH3BGRL3,chr1,1786
UBXN11,chr1,4704
CD52,chr1,935
CRYBG2,chr1,6895
AL451139.1,chr1,346
ZNF683,chr1,2379
LIN28A,chr1,4008
DHDDS,chr1,5596
AL513365.1,chr1,535
AL513365.2,chr1,529
HMGN2,chr1,2509
DPPA2P2,chr1,897
RPS6KA1,chr1,5884
MIR1976,chr1,52
RN7SL679P,chr1,304
RNU7-29P,chr1,64
AL627313.1,chr1,238
RF01210,chr1,3224
AL627082.1,chr1,235
AL512408.1,chr1,2000
ARID1A,chr1,15928
PIGV,chr1,3382
RN7SL165P,chr1,291
ZDHHC18,chr1,5436
SFN,chr1,1320
AL034380.1,chr1,306
GPN2,chr1,4979
GPATCH3,chr1,2225
NUDC,chr1,2856
NR0B2,chr1,1156
KDF1,chr1,1793
RPL12P13,chr1,497
AL356390.1,chr1,397
OSTCP2,chr1,444
TRNP1,chr1,1976
TENT5B,chr1,2368
SLC9A1,chr1,5974
AL590640.2,chr1,527
CHCHD3P3,chr1,640
NPM1P39,chr1,867
SNRPEP7,chr1,220
AL590640.1,chr1,379
WDTC1,chr1,6024
FO393419.3,chr1,282
TMEM222,chr1,4476
RNU6-48P,chr1,107
ACTG1P20,chr1,468
SYTL1,chr1,5584
MAP3K6,chr1,4951
FCN3,chr1,2167
CD164L2,chr1,2041
FO393419.1,chr1,355
GPR3,chr1,2115
WASF2,chr1,5676
FO393419.2,chr1,428
BX293535.1,chr1,283
AHDC1,chr1,8297
FGR,chr1,3474
AL031729.1,chr1,192
LINC02574,chr1,441
IFI6,chr1,865
AL445490.1,chr1,1651
RNU6-949P,chr1,107
CHMP1AP1,chr1,662
RNU6-424P,chr1,105
FAM76A,chr1,4034
AL020997.1,chr1,349
RPEP3,chr1,676
STX12,chr1,3846
AL020997.2,chr1,184
AL020997.3,chr1,359
RNU6-1245P,chr1,106
PPP1R8,chr1,2819
SCARNA1,chr1,166
THEMIS2,chr1,4621
RPA2,chr1,2019
SMPDL3B,chr1,2670
AL512288.1,chr1,491
XKR8,chr1,2743
EYA3,chr1,6483
AL512288.2,chr1,367
RN7SL559P,chr1,297
SPCS2P4,chr1,681
AL137792.2,chr1,235
AL137792.1,chr1,557
RNU6-176P,chr1,105
PTAFR,chr1,4706
DNAJC8,chr1,2888
ATP5IF1,chr1,2225
AL353622.1,chr1,1945
AL353622.2,chr1,425
SESN2,chr1,3453
MED18,chr1,2019
PHACTR4,chr1,7322
CR391992.1,chr1,394
RNU6ATAC27P,chr1,119
RCC1,chr1,3888
SNHG3,chr1,4088
SNORA73A,chr1,206
SNORA73B,chr1,204
PRDX3P2,chr1,611
AL513497.1,chr1,2083
TRNAU1AP,chr1,4311
SNHG12,chr1,4266
SNORD99,chr1,74
SNORA61,chr1,130
SNORA44,chr1,132
SNORA16A,chr1,137
TAF12,chr1,2337
RAB42,chr1,2200
LINC01715,chr1,978
AL360012.1,chr1,131
RNU11,chr1,134
GMEB1,chr1,6459
RF00422,chr1,267
YTHDF2,chr1,3859
OPRD1,chr1,9345
AL009181.1,chr1,1085
EPB41,chr1,19993
AL138785.1,chr1,331
RF00017,chr1,48236
TMEM200B,chr1,2639
AL357500.1,chr1,279
SRSF4,chr1,8893
RF02271,chr1,6033
MECR,chr1,3922
AL590729.1,chr1,573
PTPRU,chr1,6682
LINC01756,chr1,2148
AL671862.1,chr1,349
AC092265.1,chr1,498
AL645944.2,chr1,1953
AL645944.1,chr1,493
LINC01648,chr1,1519
AL137076.1,chr1,551
AL021921.1,chr1,93
AL161638.2,chr1,507
AL161638.1,chr1,481
MATN1,chr1,4606
MATN1-AS1,chr1,4024
LAPTM5,chr1,3274
MIR4420,chr1,77
AL137027.1,chr1,444
LINC01778,chr1,1646
RN7SKP91,chr1,288
AL445235.1,chr1,1747
SDC3,chr1,7067
RN7SL371P,chr1,267
PUM1,chr1,6621
AL356320.2,chr1,507
AL356320.1,chr1,163
SELENOWP1,chr1,252
AC114495.1,chr1,436
NKAIN1,chr1,2987
SNRNP40,chr1,3881
AC114495.2,chr1,437
ZCCHC17,chr1,1921
AL451070.1,chr1,439
FABP3,chr1,1026
SERINC2,chr1,3549
AC209007.1,chr1,1342
RNU6-40P,chr1,107
LINC01225,chr1,3555
LINC01226,chr1,9848
AC114488.1,chr1,591
TINAGL1,chr1,5281
HCRTR1,chr1,2558
PEF1,chr1,2227
AC114488.2,chr1,2216
AC114488.3,chr1,480
COL16A1,chr1,9269
ADGRB2,chr1,7756
MIR4254,chr1,76
AL354919.2,chr1,537
SPOCD1,chr1,7085
AL354919.1,chr1,2257
AL136115.2,chr1,587
PTP4A2,chr1,6719
AL136115.1,chr1,517
AL136115.3,chr1,1873
KHDRBS1,chr1,3588
AL445248.1,chr1,624
TMEM39B,chr1,2820
MIR5585,chr1,59
KPNA6,chr1,7480
AL049795.2,chr1,667
TXLNA,chr1,5103
CCDC28B,chr1,2818
AL049795.1,chr1,1357
IQCC,chr1,2478
DCDC2B,chr1,1869
TMEM234,chr1,3571
EIF3I,chr1,1725
MTMR9LP,chr1,2961
FAM167B,chr1,936
LCK,chr1,3339
HDAC1,chr1,3963
MARCKSL1,chr1,1699
AL109945.1,chr1,687
TSSK3,chr1,2191
FAM229A,chr1,2845
BSDC1,chr1,6271
GAPDHP20,chr1,1007
AL356986.1,chr1,341
LRRC37A12P,chr1,1801
RN7SL122P,chr1,301
AL033529.1,chr1,3447
ZBTB8B,chr1,12834
